country,RCA_AA,RCA_BM,RCA_Bo,RCA_Ca,RCA_Ag,RCA_AP,RCA_He,RCA_IE
Afghanistan,0.615651357,0.081268727,1.149599617,0.347781106,2.424046034,0.062738417,11.35361601,0
Albania,4.857239579,0.166706099,1.865802826,0.411577787,1.745132555,0.316787628,1.628644123,0.364121363
Algeria,0.421507909,0.171691998,0.912367387,0.158172793,1.281769209,1.703436162,0.050475934,2.663276971
Andorra,11.15076944,0.245325223,1.983020968,1.574765851,0.457340461,0,0,0
Angola,0,0.225320162,2.959637518,0.401764297,0.980108742,0.057981427,2.38471711,0
Antarctica,0,0.905165478,0,0,0,1.397552316,22.99196221,0
Antigua & Barbuda,17.80794523,0,0.791728521,3.353232758,0.730379542,0,0,0
Argentina,2.674470112,1.118316847,2.501863032,0.530389574,1.983967156,0.407308156,0.354886522,0.102378265
Armenia,1.310198573,0.40427544,0.336396594,0.212787501,0.193452529,2.072847937,0.302027505,0.061386627
Australia,1.431136582,0.727945835,1.462173411,0.778136688,1.479593778,0.455081609,3.048951339,0.647911512
Austria,1.102708911,0.95763459,1.095860739,1.300963314,0.589797372,0.794745814,0.427620961,0.449052074
Azerbaijan,0.92945938,0.203411725,0.554599499,0.027634267,0.39124267,2.288169603,0.082013149,0.091679758
Bahamas,1.779466563,0.058724382,1.186707179,0.502609832,0.437900933,0.090668942,3.729121387,0
Bahrain,1.341557358,0.217339641,0.325334627,0.32725125,0.780325766,1.329838956,0.715634518,0.685700487
Bangladesh,0.55813122,0.274609846,3.968002609,0.226911828,2.771932462,0.896240226,1.332683159,0.950911881
Barbados,0.220827749,0.174901492,1.73775838,0.654913727,1.249877706,0.112518093,1.851101899,0.413856985
Belgium,0.912910196,1.0699599,1.018160058,1.318912759,0.836776576,0.860467776,0.758623715,0.568104524
Belize,16.84117296,0.342016923,3.282965495,0,1.91278551,0,1.085939583,0
Benin,0.976110442,0.193276403,4.74475756,0.13785106,6.805854635,0.088418908,2.363776862,0
Bermuda,1.87599423,0.495279224,0.81320229,0.264937022,0.057706874,0,1.17942259,0
Bhutan,3.421167972,0,3.308233368,0.483153967,3.472836919,0.174318353,0.71695366,0
Bolivia,7.436626342,0.163611312,3.901399704,0.168037842,2.147253941,0.161671472,1.246759357,0
Bophuthatswana,0,0,0,0,0.843714298,0,0,0
Bosnia & Herzegovina,13.94678539,0.235132561,1.779314411,0.781430409,1.175121802,0.262623706,1.016606677,2.272861229
Botswana,3.064313713,0.171607371,1.49860918,0.236049422,2.387930125,0.312271204,4.281132351,0.870133586
Brazil,0.390549187,0.76733187,2.1188444,0.410211448,3.15930605,0.543435289,0.360172881,0.586525362
Brunei,3.555221485,0.281583063,1.865138762,0.301251393,0.699910789,0.603829219,1.390753375,1.776773372
Bulgaria,0.589370928,0.760707134,1.195148417,0.417710501,0.826568881,1.736743377,0.210426032,0.12272777
Burkina Faso,0.414454749,0.169600618,2.686563578,0.199006467,4.038855775,0.143600102,4.446965595,0
Burma,3.484324703,0.295679837,2.954366189,0.562369449,1.408654411,0.076087016,1.877628954,0
